2022-05-20 12:05:690 INFO  HomePage :40 - Clicking On Used Link[[ChromeDriver: chrome on WINDOWS (cd0bb8eea058f35fd1946c124a7bd717)] -> link text: Used]
2022-05-20 12:05:322 INFO  UsedCarsForSalePage :46 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (cd0bb8eea058f35fd1946c124a7bd717)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:379 INFO  UsedCarsForSalePage :51 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (cd0bb8eea058f35fd1946c124a7bd717)] -> xpath: //select[@id='models']]
2022-05-20 12:05:426 INFO  UsedCarsForSalePage :56 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (cd0bb8eea058f35fd1946c124a7bd717)] -> xpath: //select[@id='locations']]
2022-05-20 12:05:470 INFO  UsedCarsForSalePage :61 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (cd0bb8eea058f35fd1946c124a7bd717)] -> xpath: //select[@id='priceTo']]
2022-05-20 12:05:456 INFO  UsedCarsForSalePage :66 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (cd0bb8eea058f35fd1946c124a7bd717)] -> id: search-submit]
2022-05-20 12:05:87 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:74 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (d3a09a7be37ab8e7c572a240a0a484dc)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:140 INFO  HomePage :40 - Clicking On Used Link[[ChromeDriver: chrome on WINDOWS (d3a09a7be37ab8e7c572a240a0a484dc)] -> link text: Used]
2022-05-20 12:05:747 INFO  UsedCarsForSalePage :46 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (d3a09a7be37ab8e7c572a240a0a484dc)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:865 INFO  UsedCarsForSalePage :51 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (d3a09a7be37ab8e7c572a240a0a484dc)] -> xpath: //select[@id='models']]
2022-05-20 12:05:911 INFO  UsedCarsForSalePage :56 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (d3a09a7be37ab8e7c572a240a0a484dc)] -> xpath: //select[@id='locations']]
2022-05-20 12:05:959 INFO  UsedCarsForSalePage :61 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (d3a09a7be37ab8e7c572a240a0a484dc)] -> xpath: //select[@id='priceTo']]
2022-05-20 12:05:790 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:907 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (eef162e74003566d27e80a4f9472c650)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:982 INFO  HomePage :40 - Clicking On Used Link[[ChromeDriver: chrome on WINDOWS (eef162e74003566d27e80a4f9472c650)] -> link text: Used]
2022-05-20 12:05:771 INFO  UsedCarsForSalePage :46 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (eef162e74003566d27e80a4f9472c650)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:884 INFO  UsedCarsForSalePage :51 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (eef162e74003566d27e80a4f9472c650)] -> xpath: //select[@id='models']]
2022-05-20 12:05:944 INFO  UsedCarsForSalePage :56 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (eef162e74003566d27e80a4f9472c650)] -> xpath: //select[@id='locations']]
2022-05-20 12:05:989 INFO  UsedCarsForSalePage :61 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (eef162e74003566d27e80a4f9472c650)] -> xpath: //select[@id='priceTo']]
2022-05-20 12:05:491 INFO  UsedCarsForSalePage :66 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (eef162e74003566d27e80a4f9472c650)] -> id: search-submit]
2022-05-20 12:05:149 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:433 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (5fb8e33fcc19315a012466200544ce33)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:109 INFO  HomePage :40 - Clicking On Used Link[[ChromeDriver: chrome on WINDOWS (5fb8e33fcc19315a012466200544ce33)] -> link text: Used]
2022-05-20 12:05:276 INFO  UsedCarsForSalePage :46 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (5fb8e33fcc19315a012466200544ce33)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:390 INFO  UsedCarsForSalePage :51 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (5fb8e33fcc19315a012466200544ce33)] -> xpath: //select[@id='models']]
2022-05-20 12:05:442 INFO  UsedCarsForSalePage :56 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (5fb8e33fcc19315a012466200544ce33)] -> xpath: //select[@id='locations']]
2022-05-20 12:05:490 INFO  UsedCarsForSalePage :61 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (5fb8e33fcc19315a012466200544ce33)] -> xpath: //select[@id='priceTo']]
2022-05-20 12:05:541 INFO  UsedCarsForSalePage :66 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (5fb8e33fcc19315a012466200544ce33)] -> id: search-submit]
2022-05-20 12:05:526 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:788 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (cfc1b8abcac733c431b67c61cac068c2)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:866 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (cfc1b8abcac733c431b67c61cac068c2)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:145 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (cfc1b8abcac733c431b67c61cac068c2)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:334 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (cfc1b8abcac733c431b67c61cac068c2)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:460 INFO  NewAndUsedCarSearchPage :57 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (cfc1b8abcac733c431b67c61cac068c2)] -> xpath: //select[@id='models']]
2022-05-20 12:05:514 INFO  NewAndUsedCarSearchPage :62 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (cfc1b8abcac733c431b67c61cac068c2)] -> xpath: //select[@id='locations']]
2022-05-20 12:05:567 INFO  NewAndUsedCarSearchPage :68 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (cfc1b8abcac733c431b67c61cac068c2)] -> xpath: //select[@id='priceTo']]
2022-05-20 12:05:614 INFO  NewAndUsedCarSearchPage :74 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (cfc1b8abcac733c431b67c61cac068c2)] -> id: search-submit]
2022-05-20 12:05:293 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:274 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (61fc444acd655ddd487d60c64eee6e44)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:346 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (61fc444acd655ddd487d60c64eee6e44)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:647 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (61fc444acd655ddd487d60c64eee6e44)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:808 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (61fc444acd655ddd487d60c64eee6e44)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:756 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:391 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (9ed34acb10f1e1dba5b8f35cb01aa1c6)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:460 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (9ed34acb10f1e1dba5b8f35cb01aa1c6)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:859 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (9ed34acb10f1e1dba5b8f35cb01aa1c6)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:02 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (9ed34acb10f1e1dba5b8f35cb01aa1c6)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:941 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:871 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (79ffa9b3c17b8cb65373ba5d24a6c515)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:979 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (79ffa9b3c17b8cb65373ba5d24a6c515)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:414 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (79ffa9b3c17b8cb65373ba5d24a6c515)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:552 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (79ffa9b3c17b8cb65373ba5d24a6c515)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:404 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:325 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (d8385ad6d9dec82c182f87e04247c6a5)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:818 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (d8385ad6d9dec82c182f87e04247c6a5)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:850 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (d8385ad6d9dec82c182f87e04247c6a5)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:16 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (d8385ad6d9dec82c182f87e04247c6a5)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:139 INFO  NewAndUsedCarSearchPage :57 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (d8385ad6d9dec82c182f87e04247c6a5)] -> xpath: //select[@id='models']]
2022-05-20 12:05:193 INFO  NewAndUsedCarSearchPage :62 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (d8385ad6d9dec82c182f87e04247c6a5)] -> xpath: //select[@id='locations']]
2022-05-20 12:05:239 INFO  NewAndUsedCarSearchPage :68 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (d8385ad6d9dec82c182f87e04247c6a5)] -> xpath: //select[@id='priceTo']]
2022-05-20 12:05:557 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:432 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (66639d436649e5746c0baaeaf2c21e9e)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:501 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (66639d436649e5746c0baaeaf2c21e9e)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:819 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (66639d436649e5746c0baaeaf2c21e9e)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:908 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (66639d436649e5746c0baaeaf2c21e9e)] -> xpath: //select[@id='makes']]
2022-05-20 13:05:856 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 13:05:759 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (acc02d5f6d30725d3fc10d844ef54e3e)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 13:05:834 INFO  HomePage :40 - Clicking On Used Link[[ChromeDriver: chrome on WINDOWS (acc02d5f6d30725d3fc10d844ef54e3e)] -> link text: Used]
